"BRIN.NUMMER";"PROVINCIE.x";"BEVOEGD.GEZAG.NUMMER";"INSTELLINGSNAAM";"STRAATNAAM";"HUISNUMMER.TOEVOEGING";"POSTCODE";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM.x";"DENOMINATIE";"TELEFOONNUMMER";"INTERNETADRES";"STRAATNAAM.CORRESPONDENTIEADRES";"HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES";"POSTCODE.CORRESPONDENTIEADRES";"PLAATSNAAM.CORRESPONDENTIEADRES";"NODAAL.GEBIED.CODE";"NODAAL.GEBIED.NAAM";"RPA.GEBIED.CODE";"RPA.GEBIED.NAAM";"WGR.GEBIED.CODE";"WGR.GEBIED.NAAM";"COROPGEBIED.CODE";"COROPGEBIED.NAAM";"ONDERWIJSGEBIED.CODE";"ONDERWIJSGEBIED.NAAM";"RMC.REGIO.CODE";"RMC.REGIO.NAAM";"VESTIGINGSNUMMER";"NAAM_INSTELLING";"GEMEENTENAAM.y";"PROVINCIE.y";"SWV";"BEVOEGD_GEZAG_NUMMER";"TOTAAL";"TOTAAL_JONGER_8";"TOTAAL_8_EO";"TOTAAL_GEW00";"TOTAAL_GEW03";"TOTAAL_GEW12";"TOTAAL_NOAT";"TOTAAL_BEKOSTIGD";"BEK_JONGER_8";"BEK_8_EO";"BEK_GEW00";"BEK_GEW03";"BEK_GEW12";"BEK_NOAT";"TOTAAL_NIET_BEKOSTIGD";"NIETBEK_JONGER_8";"NIETBEK_8_EO";"NIETBEK_GEW00";"NIETBEK_GEW03";"NIETBEK_GEW12";"NIETBEK_NOAT";"lat";"lon";"NOATPCT";"DESC"
"21";"08CB";"Noord-Holland";94433;"Vrije Schoolgemeenschap Geert Groote School";"Hygieaplein";"47";"1076 RS";"AMSTERDAM";363;"AMSTERDAM";"Antroposofisch";206716090;"www.geertgrooteschool.nl";"Postbus";"75754";"1070 AT";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Geert Groote School";"AMSTERDAM";"Noord-Holland";"PO2707";94433;369;231;138;369;0;0;13;369;231;138;369;0;0;13;0;0;0;0;0;0;0;52.3476777;4.8644592;3.5230352303523;"br />  <br /> 369 <br /> 3.5230352303523"
"22";"08KC";"Noord-Holland";27770;"Rooms Katholieke Basisschool Sint Henricusschool";"Louis Naarstigstraat";"1";"1063 EN";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";206133854;"www.sthenricus.nl";"Louis Naarstigstraat";"1";"1063 EN";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"St Henricusschool";"AMSTERDAM";"Noord-Holland";"PO2707";27770;252;124;128;210;5;37;188;249;122;127;208;4;37;187;3;2;1;2;1;0;1;52.3837871;4.8282972;74.6031746031746;"br />  <br /> 252 <br /> 74.6031746031746"
"23";"08KR";"Noord-Holland";27770;"Oecumenische Basisschool De Ark";"Zuid-Hollandstraat";"7";"1082 EK";"AMSTERDAM";363;"AMSTERDAM";"Interconfessioneel";206426212;"www.de-ark.net";"Zuid-Hollandstraat";"7";"1082 EK";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Oec Basisschool De Ark";"AMSTERDAM";"Noord-Holland";"PO2707";27770;229;116;113;224;2;3;68;229;116;113;224;2;3;68;0;0;0;0;0;0;0;52.3265724;4.8749969;29.6943231441048;"br />  <br /> 229 <br /> 29.6943231441048"
"24";"08NU";"Noord-Holland";30320;"Buitenveldertse Montessorisch";"Sandenburch";"1-3";"1082 GN";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";206448446;"www.bms-school.nl";"Sandenburch";"1-3";"1082 GN";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Buitenv Montessorisch";"AMSTERDAM";"Noord-Holland";"PO2707";30320;194;98;96;194;0;0;50;194;98;96;194;0;0;50;0;0;0;0;0;0;0;52.325542;4.8791685;25.7731958762887;"br />  <br /> 194 <br /> 25.7731958762887"
"25";"08VA";"Noord-Holland";28614;"Tweede Openluchtschool voor het Gezonde Kind";"Fred. Roeskestraat";"76";"1076 ED";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";206793858;"www.openluchtschool2.nl";"Fred. Roeskestraat";"76";"1076 ED";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Tweede Openluchtschool";"AMSTERDAM";"Noord-Holland";"PO2707";28614;225;117;108;225;0;0;16;225;117;108;225;0;0;16;0;0;0;0;0;0;0;52.3412556;4.8637018;7.11111111111111;"br />  <br /> 225 <br /> 7.11111111111111"
"26";"08ZE";"Noord-Holland";41023;"Basisschool Monseigneur Bekkers";"Volendammerweg";"160";"1024 JR";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";206365923;"www.bekkersschool.nl";"Volendammerweg";"160";"1024 JR";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Basisschool Mgr Bekkers";"AMSTERDAM";"Noord-Holland";"PO2707";41023;242;127;115;193;11;38;111;242;127;115;193;11;38;111;0;0;0;0;0;0;0;52.3918612;4.9592149;45.8677685950413;"br />  <br /> 242 <br /> 45.8677685950413"
"27";"09DD";"Noord-Holland";94433;"Geert Groote School";"Fred. Roeskestraat";"82";"1076 ED";"AMSTERDAM";363;"AMSTERDAM";"Antroposofisch";206750419;"www.geertgrooteschool.nl";"Postbus";"75754";"1070 AT";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Geert Groote School";"AMSTERDAM";"Noord-Holland";"PO2707";94433;403;229;174;402;1;0;15;403;229;174;402;1;0;15;0;0;0;0;0;0;0;52.341587;4.8630928;3.72208436724566;"br />  <br /> 403 <br /> 3.72208436724566"
"28";"09JY";"Noord-Holland";27770;"Katholieke Basisschool De Springplank";"Robert Scottstraat";"28-34";"1056 AZ";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";206162553;"www.kbsdespringplank.nl";"Robert Scottstraat";"28-34";"1056 AZ";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Kbs De Springplank";"AMSTERDAM";"Noord-Holland";"PO2707";27770;220;96;124;144;9;67;159;219;96;123;143;9;67;158;1;0;1;1;0;0;1;52.373499;4.8464286;72.2727272727273;"br />  <br /> 220 <br /> 72.2727272727273"
"29";"09MQ";"Noord-Holland";48622;"Amsterdamse Montessorischool";"Willem Witsenstraat";"14";"1077 AZ";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";203057878;"www.de-ams.nl";"Willem Witsenstraat";"14";"1077 AZ";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"A'damse Montessorischool";"AMSTERDAM";"Noord-Holland";"PO2707";48622;299;149;150;299;0;0;0;299;149;150;299;0;0;0;0;0;0;0;0;0;0;52.3509302;4.8703358;0;"br />  <br /> 299 <br /> 0"
"30";"09ZI";"Noord-Holland";81316;"Oecumenische basisschool Nelson Mandela School";"Laing's Nekstraat";"44";"1092 GX";"AMSTERDAM";363;"AMSTERDAM";"Protestants-Christelijk";206942768;"www.nelsonmandelaschool.nl";"Laing's Nekstraat";"44";"1092 GX";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Nelson Mandela School";"AMSTERDAM";"Noord-Holland";"PO2707";81316;139;56;83;93;17;29;75;138;56;82;93;16;29;74;1;0;1;0;1;0;1;52.3546279;4.923326;53.9568345323741;"br />  <br /> 139 <br /> 53.9568345323741"
